funcname,freq
asyncWith,2389
asyncFor,684
gen_test,475
async_test,197
staticmethod,189
bind_hass,169
classmethod,159
property,141
run_until_complete,110
abstractmethod,103
internalcode,88
rule,85
unittest_run_loop,49
_verify_domain_control,37
register_command,32
roku_exception_handler,32
log_exceptions,29
asyncify,28
benchmark,28
async_response,27
refresh_system,25
wled_exception_handler,24
asynccontextmanager,21
middleware,21
checked,20
goal_rule,18
unittest_reporter,14
dec,14
require_admin,14
action,12
toon_exception_handler,12
sonarr_exception_handler,12
api_data,12
if_logged_in,10
foo,9
ignore_exceptions,9
verify_system_exists,8
callback,6
implement,5
log_invalid_auth,4
once_at_a_time,4
background_task,4
capture_exceptions,4
decorator,4
_api_bool,4
validator,4
authenticated,3
_service,3
catch_error,3
require_sudo,3
_fan_native,3
asyncjsonwrap,2
capturesESExceptions,2
overload,2
_async,2
v3_only,2
command,2
async_mocketize,2
async_to_sync,2
fob,2
fixture,2
oauth2_decorator,2
async_root,1
login_required,1
unauthenticated,1
wrapper,1
csrf_exempt,1
heartbeat,1
named_rule,1
csrf_protect,1
attribute,1
cached_property_decorator,1
async_httprettified,1
async_handler,1
before_after,1
time_taken,1
coro_to_func,1
