"features","freq"
 FNL,335017
 WTH,153600
 DEC,134398
 DYN,121335
 FNL DYN,103805
 FNL WTH,91616
 FNL DEC,69838
 FNL DYN DEC,59821
 FNL DYN DEC WTH,31575
 FNL DEC WTH,31094
 FNL DYN WTH,29801
 DYN DEC,29779
 DEC WTH,22549
 DYN WTH,18965
 DYN DEC WTH,5972
 DEC ASC,388
 ASC,325
 FNL DEC ASC,248
 FNL ASC,164
 FNL DYN DEC ASC,151
"",126
 FNL DEC ASC WTH,109
 DEC ASC WTH,105
 FNL ASC WTH,79
 ASC WTH,71
 FNL DYN DEC ASC WTH,49
 DYN DEC ASC,48
 FNL DYN ASC,43
 DYN ASC,23
 FNL DYN ASC WTH,14
 DYN DEC ASC WTH,10
 DYN ASC WTH,4
